calender.date,date,Ave.FLC.ACT2.C,Std.FLC.ACT2.C,SE.FLC.ACT2.C,Ave.log10.FLC.ACT2.C,Std.log10.FLC.ACT2.C,SE.log10.FLC.ACT2.C
180410,0,0.211556554,0.092623797,0.053476374,-0.709327145,0.224342629,0.129524277
180414,4,0.496705654,0.227056085,0.131090892,-0.333725537,0.196208215,0.113280866
180416,6,0.326454371,0.130904404,0.075577693,-0.50739241,0.161786795,0.09340765
180422,12,0.380421986,0.175841498,0.101522136,-0.461147137,0.248325754,0.143370941
180504,24,0.288836836,0.21546301,0.124397627,-0.627010481,0.344992969,0.199181783
180530,50,0.219713602,0.03451618,0.019927926,-0.66195763,0.071620484,0.041350106
