calender.date,date,Ave.FLC.ACT2.C,Std.FLC.ACT2.C,SE.FLC.ACT2.C,Ave.log10.FLC.ACT2.C,Std.log10.FLC.ACT2.C,SE.log10.FLC.ACT2.C
180703,0,1.470474272,0.429779452,0.248133282,0.155669042,0.122325419,0.070624613
180706,3,1.563752217,0.026964124,0.015567744,0.194124677,0.007517177,0.004340044
180709,6,1.713684079,0.306563113,0.176994296,0.229499143,0.075104208,0.043361434
180715,12,2.547316038,0.873832605,0.50450749,0.390450257,0.139265206,0.080404804
180727,24,1.642602023,0.446516137,0.257796212,0.203260159,0.130596796,0.075400095
180820,48,0.032924992,0.00760646,0.004391592,-1.323487521,0.294383239,0.169962242
