calender.date,date,Ave.FLC.ACT2,Std.FLC.ACT2,SE.FLC.ACT2,Ave.log10.FLC.ACT2,Std.log10.FLC.ACT2,SE.log10.FLC.ACT2
180213,0,0.030295849,0.045930002,0.022965001,-1.873522837,0.601158905,0.300579453
180227,14,0.020644812,0.021862672,0.010931336,-2.084401686,0.787586072,0.393793036
180313,28,0.010176082,0.011644644,0.005822322,-2.179790111,0.446176868,0.223088434
180326,41,0.084601218,0.098066074,0.049033037,-1.317739996,0.567856438,0.283928219
180410,56,0.373144345,0.174984977,0.087492489,-0.462728535,0.19836112,0.09918056
180424,70,0.720773089,0.170469559,0.085234779,-0.151684548,0.105803436,0.052901718
180508,84,1.629209605,0.674033712,0.337016856,0.173888804,0.226970635,0.113485318
180522,98,2.890448052,0.829717807,0.414858904,0.448108834,0.120840614,0.060420307
