calendar.date,days,K4.I.ACT2,K4.II.ACT2,K4.III.ACT2,K4.IV.ACT2,K4.V.ACT2,K4.VI.ACT2,K4.VII.ACT2,K4.VIII.ACT2,,K4.I.PP2AA3,K4.II.PP2AA3,K4.III.PP2AA3,K4.IV.PP2AA3,K4.V.PP2AA3,K4.VI.PP2AA3,K4.VII.PP2AA3,K4.VIII.PP2AA3
131203,459,0.630977938,0.592871018,0.007670998,0.004918268,0.010738407,0.158999758,0.48268736,0.207198098,,0.865245246,0.814753985,0.010739432,0.00683974,0.014861966,0.219177763,0.662332028,0.28423305
131217,473,0.333486114,0.306949675,0.004843292,0.004195343,0.011189047,0.123635153,0.255477435,0.12577243,,0.484419991,0.443735593,0.0068938,0.005915577,0.015973153,0.180303453,0.37084635,0.184457995
140107,494,0.249712146,0.233322121,0.004787725,0.00448057,0.007158746,0.312193743,0.590805405,0.327012298,,0.361844655,0.336399255,0.006799769,0.006381306,0.01031484,0.453946265,0.85495635,0.470543193
140121,508,0.154730444,0.12408009,0.002926293,0.003261206,0.006446773,0.283955025,0.512067275,0.263534,,0.212868321,0.17070133,0.004022777,0.00449185,0.00892557,0.39288595,0.708670725,0.36441875
140204,522,0.171565821,0.172316148,0.002970349,0.00267903,0.005685401,0.197514033,0.44107008,0.223463355,,0.239063359,0.240083233,0.00416809,0.003974734,0.007774793,0.274253193,0.608975105,0.304337928
140218,536,0.120093434,0.114371104,0.003478841,0.003607641,0.004602931,0.123079235,0.259196615,0.141450438,,0.224692593,0.198510388,0.006709,0.005978939,0.008466831,0.248755008,0.509720958,0.27568151
140304,550,0.130926985,0.126988957,0.005356682,0.00429918,0.005896309,0.074113678,0.134705875,0.082858033,,0.166521448,0.15961155,0.007091376,0.005485075,0.007755384,0.09098029,0.16736128,0.104052748
140320,566,0.167990539,0.159920278,0.004979185,0.005247521,0.005882048,0.02356757,0.044179498,0.031843161,,0.271513326,0.258518469,0.007897099,0.008358044,0.009553825,0.037808544,0.070817586,0.050263119
140401,578,0.30257775,0.279561545,0.007115806,0.004573522,0.007159959,0.022358553,0.033425515,0.028055483,,0.437186852,0.405221744,0.01031148,0.006541525,0.010362352,0.032313155,0.049081473,0.041086683
140415,592,0.518181302,0.529780545,0.028656099,0.01549882,0.011764821,0.026273437,0.050174651,0.034659663,,0.59709701,0.607909077,0.033917218,0.018043997,0.013499121,0.030270854,0.061143777,0.039205944
