calendar.date,days,K27.I.FUS3,K27.II.FUS3,K27.III.FUS3,K27.IV.FUS3,K27.V.FUS3,K27.VI.FUS3,K27.VII.FUS3,K27.VIII.FUS3,,K27.I.STM,K27.II.STM,K27.III.STM,K27.IV.STM,K27.V.STM,K27.VI.STM,K27.VII.STM,K27.VIII.STM
131203,459,0.164720284,0.168131402,0.028796087,0.01362444,0.00540421,0.005708447,0.004565519,0.006885383,,0.11480645,0.116958463,0.020105897,0.009598202,0.003803892,0.004031099,0.003161558,0.004840237
131217,473,0.469276236,0.511542535,0.113445052,0.044624307,0.023553084,0.0134612,0.006493331,0.01028326,,0.30401453,0.341807553,0.07109058,0.029139581,0.015100406,0.009009483,0.004297878,0.007132156
140107,494,0.767232062,0.848821549,0.216369443,0.101129013,0.024321558,0.016802712,0.012012714,0.019756473,,0.537128595,0.592566324,0.151487086,0.070812493,0.017050954,0.011839308,0.008372669,0.013901965
140121,508,0.826011282,0.748775356,0.247161276,0.143249019,0.073939785,0.047213328,0.012322866,0.018382249,,0.525064008,0.479575429,0.153151476,0.088850192,0.048163862,0.031279699,0.00719209,0.01277831
140204,522,1.008771565,1.00470093,0.363733952,0.215147283,0.122395005,0.064004431,0.025305429,0.026072162,,0.696966626,0.69945268,0.2555519,0.151275223,0.085630787,0.045953403,0.01799961,0.017980444
140218,536,0.757024834,0.860589342,0.448329638,0.301812153,0.171805125,0.089122588,0.015465303,0.021408224,,0.548812491,0.627909624,0.325436711,0.217534309,0.124120654,0.064927091,0.011255721,0.015995681
140304,550,0.829745413,0.80914544,0.594825826,0.387158295,0.347403514,0.292118393,0.07671313,0.053366873,,0.597952332,0.586179055,0.430555314,0.281864363,0.250651575,0.212492508,0.05585929,0.03848275
140320,566,1.146711512,1.073510576,0.96812134,0.740514558,0.723484854,0.485183168,0.240023465,0.11723196,,0.860574299,0.802841115,0.727305899,0.557661213,0.541882803,0.366983715,0.182116805,0.088971618
140401,578,1.035500444,1.022432715,1.132087889,0.973021389,1.180233764,0.761047485,0.29483223,0.167723395,,0.813723716,0.805900828,0.889645533,0.765074377,0.92871307,0.599229065,0.232519088,0.132159185
140415,592,0.825439951,1.096586878,1.216878022,1.074063798,1.194776826,0.735510195,0.585189625,0.216306943,,0.564007116,0.745948056,0.827352073,0.728648169,0.812754807,0.5010871,0.392801275,0.146305875
140428,605,0.351908016,0.476388162,0.795661056,0.617418621,0.691888316,0.394948153,0.146237098,0.084470045,,0.223882508,0.308694519,0.502053419,0.394940553,0.441173188,0.257722285,0.096322345,0.055906313
140513,620,0.175564921,0.326153291,0.427308297,0.296762929,0.269453125,0.156659775,0.072179368,0.052282088,,0.125239122,0.231140375,0.304114997,0.209516072,0.191017132,0.109208075,0.050360015,0.036070033
140527,634,0.078244526,0.111381177,0.198015546,0.113921993,0.132737661,0.053668176,0.02380435,0.025788737,,0.055726907,0.078797511,0.140281868,0.081541768,0.094784485,0.038232177,0.016901791,0.018412561
140610,648,0.050800223,0.093124073,0.120156522,0.116221771,0.103083969,0.060570195,0.012184723,0.017702772,,0.038974753,0.071298731,0.092471265,0.08920321,0.078908952,0.046842403,0.009387384,0.013521089
140623,661,0.017063704,0.0445554,0.046034182,0.065782108,0.049385953,0.034918041,0.00871303,0.013770535,,0.013287025,0.033767691,0.03485288,0.049369752,0.035810993,0.026111792,0.006758067,0.01037377
140708,676,0.028153065,0.047547295,0.064539729,0.068763205,0.056834661,0.052660791,0.020735422,0.010549511,,0.02186267,0.036712088,0.049848801,0.053137568,0.044293156,0.040914251,0.015571069,0.008057805
140722,690,0.021384491,0.043344703,0.052778134,0.035762749,0.031184379,0.031252335,0.017553758,0.011379506,,0.016199374,0.034244436,0.041299877,0.028288544,0.024074272,0.024259491,0.013823223,0.008801487
140805,704,0.018204545,0.024900262,0.017803841,0.026058114,0.022522845,0.016873307,0.010291926,0.009563995,,0.014140428,0.019266443,0.013792728,0.020019238,0.017429016,0.013115598,0.008011554,0.007490397
140819,718,0.01576864,0.020626893,0.010630813,0.010908446,0.007796326,0.008692433,0.007007732,0.011155932,,0.012727733,0.016551004,0.008345679,0.00872259,0.00611954,0.006897007,0.005538564,0.008773154
140902,732,0.020143955,0.018259956,0.013499631,0.015554352,0.021066585,0.013890817,0.006840114,0.010616696,,0.014649413,0.013326679,0.009827134,0.011333258,0.015356057,0.010093813,0.005009451,0.007718714
140916,746,0.012371522,0.013354137,0.013026892,0.00708477,0.010805088,0.005950157,0.002568598,0.008986497,,0.00890285,0.009706694,0.009404789,0.005116101,0.007762762,0.004298627,0.001870618,0.006512213
