sma,coef.RNA.log.ACT2,r.sqr.RNA.log.ACT2,aic.RNA.log.ACT2,loglik.RNA.log.ACT2,coef.RNA.ACT2,r.sqr.RNA.ACT2,aic.RNA.ACT2,loglik.RNA.ACT2,coef.RNA.log.PP2A,r.sqr.RNA.log.PP2A,aic.RNA.log.PP2A,loglik.RNA.log.PP2A,coef.RNA.PP2A,r.sqr.RNA.PP2A,aic.RNA.PP2A,loglik.RNA.PP2A
84,4.70613690129583,0.700622316241757,375.59675091924,-184.79837545962,3.16169807537106,0.404737070445643,463.699216100896,-228.849608050448,4.556094361029,0.675426814015534,385.218253245607,-189.609126622803,6.3298927802568,0.244715595726604,886.194089698314,-440.097044849157
85,4.7021965532922,0.695988932801295,378.668385587348,-186.334192793674,3.15920877126384,0.402100645425493,464.583062111086,-229.291531055543,4.55205285160145,0.670889908474302,387.980626802113,-190.990313401057,6.32868017530079,0.243410342895211,886.537696860599,-440.268848430299
86,4.69670634095475,0.69093427829612,381.966353562937,-187.983176781469,3.15434202932648,0.398882360802266,465.656705727011,-229.828352863505,4.54705355916092,0.666105097191997,390.852985184289,-192.426492592144,6.32291653357281,0.241765083110617,886.969967146537,-440.484983573269
87,4.6965775760054,0.686228371071792,384.988649365442,-189.494324682721,3.15319133364588,0.395898319671894,466.6470805674,-230.3235402837,4.54709862197887,0.661611770918782,393.513129998304,-193.756564999152,6.32481130229367,0.240273394949832,887.361078561759,-440.68053928088
88,4.69144447765752,0.681029522887367,388.275274440002,-191.137637220001,3.1480284303502,0.392470853841746,467.778605087117,-230.889302543558,4.54175279543118,0.656487399392991,396.504090225674,-195.252045112837,6.31865546640669,0.23850902888275,887.822694323095,-440.911347161547
89,4.68501620529642,0.675315720655784,391.826216786157,-192.913108393078,3.14188520373829,0.388725142963806,469.007916005329,-231.503958002665,4.53533189671008,0.650917111613084,399.705125136115,-196.852562568058,6.31125352321677,0.236600062528033,888.320939149525,-441.160469574763
90,4.67891814771291,0.670374826474926,394.846798607873,-194.423399303936,3.13656857357576,0.385579305375489,470.034547615962,-232.017273807981,4.52938948501484,0.646138747578121,402.410629128419,-198.20531456421,6.30507131751908,0.235018754242661,888.732721844217,-441.366360922108
91,4.66975814211998,0.663475944221078,398.989491332555,-196.494745666277,3.1310589442372,0.381765108428093,471.272268570096,-232.636134285048,4.52010777283753,0.639363005673359,406.185062635327,-200.092531317663,6.29833915356997,0.233011884768136,889.254099443599,-441.627049721799
92,4.66013307557387,0.656405717585358,403.147874333829,-198.573937166914,3.12336955741411,0.377398183168409,472.680010059191,-233.340005029595,4.5105016721078,0.632455705264554,409.960479638907,-201.980239819453,6.28804155683501,0.230721086179532,889.847576031183,-441.923788015592
93,4.65169751293314,0.649394300550566,407.188010112524,-200.594005056262,3.11754010194926,0.373324918576442,473.98421380516,-233.99210690258,4.50228848798972,0.625671648489986,413.600093358304,-203.800046679152,6.28133041082699,0.228591026371264,890.397826572347,-442.198913286173
94,4.64125310592012,0.642428499132663,411.122633299327,-202.561316649664,3.11225515011411,0.369727728440773,475.128955451724,-234.564477725862,4.49216681088339,0.61894312651551,417.145334230325,-205.572667115162,6.27500419820008,0.226695604194367,890.886187986144,-442.443093993072
95,4.62976175605061,0.636281074633442,414.531841645042,-204.265920822521,3.10528428480147,0.366363155985389,476.193772648331,-235.096886324166,4.48088574698766,0.61296193222521,420.244643076282,-207.122321538141,6.26480685676501,0.224904009591532,891.346698701904,-442.673349350952
96,4.61646999966126,0.630101291943298,417.901405616795,-205.950702808397,3.09599829668129,0.362717994907226,477.341027982852,-235.670513991426,4.46774649942901,0.606916552493879,423.328918089941,-208.66445904497,6.24994715229976,0.222936248554789,891.851266170753,-442.925633085376
97,4.60307849023638,0.623768727801485,421.296372374177,-207.648186187088,3.08543516479578,0.358704667592207,478.596592391226,-236.298296195613,4.45477178734397,0.600796372939176,426.403409637494,-210.201704818747,6.23438646899585,0.220871604021954,892.379304438757,-443.189652219378
98,4.59012183360232,0.617601686454701,424.548118583382,-209.274059291691,3.07466555774089,0.354677104376072,479.84873581153,-236.924367905765,4.44230115437573,0.594857929661239,429.341876737947,-211.670938368974,6.21974578038634,0.218886306081465,892.885731621992,-443.442865810996
99,4.57932283847101,0.610913773059641,428.015760814969,-211.007880407485,3.06762719697234,0.350881032593829,481.021776570771,-237.510888285385,4.43097086102249,0.588167784194687,432.601143843055,-213.300571921527,6.21120071234096,0.216935503898,893.3821070839,-443.69105354195
