date,days from 120901,FLC_mean,FLC.log10mean,FLC_mean_norm,FLC_log10mean_norm,FLC_log10mean_norm_2,FLC_log10mean_norm_3,FLC_log10mean_norm_4,,,FLC_PP2A_mean,FLC_PP2A_mean_log10mean,FLC_PP2A_mean_log10mean_difference_from_min,FLC_PP2A_mean_log10mean_relative_to_max,,K4_I_ACT2_mean,K4_II_ACT2_mean,K4_III_ACT2_mean,K4_IV_ACT2_mean,K4_V_ACT2_mean,K4_VI_ACT2_mean,K4_VII_ACT2_mean,K4_VIII_ACT2_mean,K4_I_ACT2_mean_norm,K4_II_ACT2_mean_norm,K4_III_ACT2_mean_norm,K4_IV_ACT2_mean_norm,K4_V_ACT2_mean_norm,,K4_I_PP2A_mean,K4_II_PP2A_mean,K4_III_PP2A_mean,K4_IV_PP2A_mean,K4_V_PP2A_mean,K4_VI_PP2A_meanA3_mean,K4_VII_PP2A_meanA3_mean,K4_VIII_PP2A_meanA3_mean,K4_I_PP2A_mean_norm,K4_II_PP2A_mean_norm,K4_III_PP2A_mean_norm,K4_IV_PP2A_mean_norm,K4_V_PP2A_mean_norm,,K27_I_FUS3_mean,K27_II_FUS3_mean,K27_III_FUS3_mean,K27_IV_FUS3_mean,K27_V_FUS3_mean,K27_VI_FUS3_mean,K27_VII_FUS3_mean,K27_VIII_FUS3_mean,K27_I_FUS3_mean_norm,K27_II_FUS3_mean_norm,K27_III_FUS3_mean_norm,K27_IV_FUS3_mean_norm,K27_V_FUS3_mean_norm,,K27_I_STM_mean,K27_II_STM_mean,K27_III_STM_mean,K27_IV_STM_mean,K27_V_STM_mean,K27_VI_STM_mean,K27_VII_STM_mean,K27_VIII_STM_mean,K27_I_STM_mean_norm,K27_II_STM_mean_norm,K27_III_STM_mean_norm,K27_IV_STM_mean_norm,K27_V_STM_mean_norm
140218,536,0.009122737,-2.249608321,0.001331749,-5.458663696,1.561082889,0.055556274,0.020961061,,,0.01499754,-2.016747413,0,0,,0.120093434,0.114371104,0.003478841,0.003607641,0.004602931,0.123079235,0.259196615,0.141450438,0.115212223,0.107696798,0.040661719,0.14192065,0.206898186,,0.224692593,0.198510388,0.006709,0.005978939,0.008466831,0.248755008,0.509720958,0.27568151,0.052065319,0.033230984,0.02910117,0.08098938,0.040759093,,0.757024834,0.860589342,0.448329638,0.301812153,0.171805125,0.089122588,0.015465303,0.021408224,0.660170257,0.784789021,0.368426112,0.28100021,0.143796834,,0.548812491,0.627909624,0.325436711,0.217534309,0.124120654,0.064927091,0.011255721,0.015995681,0.633941224,0.776447481,0.361268073,0.279512987,0.130084948
140304,550,0.021696609,-2.133523207,0.013601822,-3.360859037,3.658887548,0.171641388,0.064759304,,,0.030455977,-1.957950309,0.058797104,0.021684933,,0.130926985,0.126988957,0.005356682,0.00429918,0.005896309,0.074113678,0.134705875,0.082858033,0.125605443,0.119578315,0.062610477,0.169125061,0.265034541,,0.166521448,0.15961155,0.007091376,0.005485075,0.007755384,0.09098029,0.16736128,0.104052748,0,0,0.033243636,0.06103247,0,,0.829745413,0.80914544,0.594825826,0.387158295,0.347403514,0.292118393,0.07671313,0.053366873,0.723586887,0.737876275,0.488813024,0.360461172,0.290768541,,0.597952332,0.586179055,0.430555314,0.281864363,0.250651575,0.212492508,0.05585929,0.03848275,0.691639344,0.724034926,0.480271189,0.364162443,0.266888565
140320,566,0.00797495,-2.305164595,0.111193214,-0.964226568,6.055520018,0,0,,,0.014880437,-2.014608931,0.002138483,0.000788693,,0.167990539,0.159920278,0.004979185,0.005247521,0.005882048,0.02356757,0.044179498,0.031843161,0.161162545,0.150587878,0.058198181,0.206431736,0.264393489,,0.271513326,0.258518469,0.007897099,0.008358044,0.009553825,0.037808544,0.070817586,0.050263119,0.0939716,0.084495435,0.041972428,0.177128368,0.10303343,,1.146711512,1.073510576,0.96812134,0.740514558,0.723484854,0.485183168,0.240023465,0.11723196,1,0.978956248,0.795577964,0.689451185,0.605539744,,0.860574299,0.802841115,0.727305899,0.557661213,0.541882803,0.366983715,0.182116805,0.088971618,1,0.996157077,0.816217856,0.727072958,0.581764052
140401,578,0.063628761,-1.326010396,0.216327269,-0.483462326,6.536284259,0.979154199,0.369429221,,,0.122004135,-0.997093445,1.019653968,0.376058112,,0.30257775,0.279561545,0.007115806,0.004573522,0.007159959,0.022358553,0.033425515,0.028055483,0.290279443,0.263247289,0.083171636,0.179917377,0.321834627,,0.437186852,0.405221744,0.01031148,0.006541525,0.010362352,0.032313155,0.049081473,0.041086683,0.242255512,0.209822937,0.068128601,0.103723328,0.149354277,,1.035500444,1.022432715,1.132087889,0.973021389,1.180233764,0.761047485,0.29483223,0.167723395,0.903017397,0.932377303,0.930321584,0.905925134,0.9878278,,0.813723716,0.805900828,0.889645533,0.765074377,0.92871307,0.599229065,0.232519088,0.132159185,0.94498984,1,1,1,1
140415,592,0.23740244,-0.786493137,0.422091538,0.147079918,7.166826503,1.518671458,0.572985966,,,0.33687837,-0.549513901,1.467233512,0.541129718,,0.518181302,0.529780545,0.028656099,0.01549882,0.011764821,0.026273437,0.050174651,0.034659663,0.497119764,0.498864363,0.334940922,0.609706647,0.528819606,,0.59709701,0.607909077,0.033917218,0.018043997,0.013499121,0.030270854,0.061143777,0.039205944,0.385380997,0.382977198,0.323861126,0.568535102,0.329061073,,0.825439951,1.096586878,1.216878022,1.074063798,1.194776826,0.735510195,0.585189625,0.216306943,0.719832271,1,1,1,1,,0.564007116,0.745948056,0.827352073,0.728648169,0.812754807,0.5010871,0.392801275,0.146305875,0.651782171,0.924700812,0.929478554,0.952068147,0.874627406
140428,605,0.728722334,-0.170200046,0.556779132,0.431078062,7.450824647,2.134964548,0.805509788,,,1.576613549,0.145029337,2.16177675,0.79728389,,0.781384105,0.71972932,0.019393448,0.006856505,0.009548116,0.011299175,0.012088547,0.013871921,0.74962466,0.677728377,0.226676328,0.269727407,0.429180418,,0.808435443,0.741217644,0.020050583,0.006979606,0.009715666,0.011613933,0.012543285,0.014184441,0.574536684,0.496861702,0.173637075,0.121426063,0.112305368,,0.351908016,0.476388162,0.795661056,0.617418621,0.691888316,0.394948153,0.146237098,0.084470045,0.306884524,0.434428108,0.653854406,0.574843526,0.579094188,,0.223882508,0.308694519,0.502053419,0.394940553,0.441173188,0.257722285,0.096322345,0.055906313,0.252420882,0.375521261,0.561213068,0.512955072,0.472878101
140513,620,1.159205883,0.053385228,1,1,8.019746585,2.358549822,0.88986722,,,2.163524879,0.311186542,2.327933955,0.858564253,,0.83576941,0.801424464,0.04837107,0.011737787,0.010072725,0.023189677,0.037713196,0.029400651,0.801799468,0.754656072,0.565375307,0.461751743,0.452761213,,1.019584907,0.980174331,0.05893087,0.01430266,0.012194142,0.02831011,0.046037144,0.035721164,0.763523237,0.701000598,0.594846273,0.417348689,0.254298285,,0.175564921,0.326153291,0.427308297,0.296762929,0.269453125,0.156659775,0.072179368,0.052282088,0.153102955,0.297425856,0.351151298,0.276299164,0.225525905,,0.125239122,0.231140375,0.304114997,0.209516072,0.191017132,0.109208075,0.050360015,0.036070033,0.136597595,0.278115188,0.337130096,0.268962096,0.202412566
140527,634,1.1394744,0.036654277,,,,2.341818872,0.883554729,,,2.077269316,0.300880949,2.317628363,0.854763452,,0.824127845,0.841291594,0.04376207,0.012148417,0.010507739,0.03240986,0.046326923,0.030749168,0.790631075,0.792196692,0.511503955,0.477905457,0.472314722,,1.013861313,1.035190017,0.053880724,0.014933742,0.012944417,0.039964488,0.057088458,0.03788898,0.758400409,0.748000084,0.540135567,0.442850541,0.297281851,,0.078244526,0.111381177,0.198015546,0.113921993,0.132737661,0.053668176,0.02380435,0.025788737,0.068233837,0.101570773,0.162724235,0.106066319,0.111098289,,0.055726907,0.078797511,0.140281868,0.081541768,0.094784485,0.038232177,0.016901791,0.018412561,0.054979015,0.086776345,0.15165719,0.100565609,0.098367056
140610,648,1.359032425,0.086198308,,,,2.391362903,0.902247406,,,2.340733251,0.352136555,2.368883968,0.873667008,,1.04236713,1.055676176,0.065007273,0.016400647,0.019440699,0.023062569,0.03479732,0.025517636,1,0.994070523,0.75982415,0.645183563,0.87384437,,1.095831996,1.09833537,0.068951178,0.018295837,0.021782807,0.024659919,0.03829111,0.028239011,0.831767192,0.801944683,0.703401178,0.578711888,0.803636876,,0.050800223,0.093124073,0.120156522,0.116221771,0.103083969,0.060570195,0.012184723,0.017702772,0.044300788,0.084921747,0.098741632,0.108207512,0.086278848,,0.038974753,0.071298731,0.092471265,0.08920321,0.078908952,0.046842403,0.009387384,0.013521089,0.035309277,0.077358064,0.097531559,0.110647007,0.081202632
140623,661,1.100790765,0.039149796,,,,2.34431439,0.884496274,,,2.287492612,0.35632204,2.373069453,0.875210655,,0.968248843,1.061973121,0.053659041,0.015678518,0.015806798,0.015664233,0.027579324,0.018319185,0.928894259,1,0.627182676,0.616775775,0.710503341,,1.065835387,1.171082231,0.059987305,0.017457532,0.017300272,0.01754206,0.030049254,0.019863087,0.804919121,0.864091778,0.606291151,0.54483621,0.546830588,,0.017063704,0.0445554,0.046034182,0.065782108,0.049385953,0.034918041,0.00871303,0.013770535,0.014880555,0.04063098,0.037829742,0.061245997,0.041334877,,0.013287025,0.033767691,0.03485288,0.049369752,0.035810993,0.026111792,0.006758067,0.01037377,0.00514773,0.030220013,0.032302692,0.058231685,0.034605669
140708,676,1.200010044,0.066144747,,,,2.371309341,0.894681313,,,2.20681465,0.3286675,2.345414914,0.865011397,,1.00666206,1.002995019,0.079714394,0.02439627,0.020874716,0.027580496,0.038739789,0.019660994,0.965746167,0.944463658,0.931725308,0.95972265,0.938302328,,1.143127117,1.135281806,0.090125731,0.027458002,0.02381123,0.031691161,0.044201805,0.022273739,0.874098068,0.833507744,0.932795485,0.948952491,0.91984607,,0.028153065,0.047547295,0.064539729,0.068763205,0.056834661,0.052660791,0.020735422,0.010549511,0.024551132,0.043359351,0.053037139,0.064021527,0.04756927,,0.02186267,0.036712088,0.049848801,0.053137568,0.044293156,0.040914251,0.015571069,0.008057805,0.015216924,0.033918102,0.049279338,0.06318961,0.043776476
140722,690,2.146751384,0.27097527,,,,2.576139865,0.971962686,,,3.062287374,0.468878305,2.485625718,0.916722479,,1.004625907,0.950721441,0.074790863,0.018090883,0.01557321,0.016016133,0.021057818,0.015327769,0.963792773,0.895240588,0.874177632,0.711675611,0.700003726,,1.272246332,1.210573955,0.095728575,0.023243542,0.019919791,0.020443825,0.026931106,0.019706391,0.989664524,0.89782926,0.993493839,0.778647305,0.696903917,,0.021384491,0.043344703,0.052778134,0.035762749,0.031184379,0.031252335,0.017553758,0.011379506,0.018648536,0.039526921,0.043371754,0.033296671,0.026100589,,0.016199374,0.034244436,0.041299877,0.028288544,0.024074272,0.024259491,0.013823223,0.008801487,0.008567299,0.030818793,0.039601236,0.030491731,0.021916076
140805,704,1.200131688,0.045333104,,,,2.350497698,0.8868292,,,1.996247037,0.243831002,2.260578416,0.833722887,,1.002345431,0.95267691,0.081606282,0.025420126,0.022247324,0.03689846,0.05781501,0.034805443,0.961604987,0.897081942,0.953838257,1,1,,1.128303233,1.074451244,0.09395626,0.02872125,0.025210311,0.042413093,0.066606238,0.039949795,0.860830145,0.781540654,0.974293483,1,1,,0.018204545,0.024900262,0.017803841,0.026058114,0.022522845,0.016873307,0.010291926,0.009563995,0.015875436,0.022707058,0.014630752,0.024261235,0.018851089,,0.014140428,0.019266443,0.013792728,0.020019238,0.017429016,0.013115598,0.008011554,0.007490397,0.006149764,0.012006807,0.008460825,0.019610467,0.01473131
140819,718,1.138622326,0.035482772,,,,2.340647366,0.883112727,,,2.365875138,0.331340454,2.348087867,0.865997208,,1.023054262,0.878117301,0.085555682,0.024445503,0.015993754,0.028615458,0.046627505,0.023989134,0.981472106,0.826873377,1,0.961659402,0.718906858,,1.140244448,0.981730848,0.096329135,0.028004775,0.018029937,0.032336537,0.051584359,0.026477558,0.871517973,0.702330319,1,0.97104744,0.588633398,,0.01576864,0.020626893,0.010630813,0.010908446,0.007796326,0.008692433,0.007007732,0.011155932,0.013751183,0.018810086,0.008736137,0.010156236,0.006525341,,0.012727733,0.016551004,0.008345679,0.00872259,0.00611954,0.006897007,0.005538564,0.008773154,0.004491031,0.008596283,0.002294307,0.004745641,0.002503649
140902,732,1.06383592,0.005478659,,,,2.310643254,0.871792348,,,2.061112891,0.280890064,2.297637478,0.847390623,,0.853712491,0.884047038,0.051838814,0.016143819,0.018631816,0.02430995,0.028904611,0.016685832,0.81901325,0.832457074,0.605907322,0.635080221,0.837485717,,0.807788576,0.843164301,0.048859774,0.015152119,0.01754822,0.023162499,0.026983131,0.015843504,0.573957714,0.583953962,0.485741156,0.451675096,0.561035632,,0.020143955,0.018259956,0.013499631,0.015554352,0.021066585,0.013890817,0.006840114,0.010616696,0.017566715,0.016651627,0.01109366,0.014481777,0.017632235,,0.014649413,0.013326679,0.009827134,0.011333258,0.015356057,0.010093813,0.005009451,0.007718714,0.006747394,0.004546611,0.003971439,0.008180919,0.012490053
140916,746,1.751512867,0.23240716,,,,2.537571755,0.957411161,,,3.018087235,0.418569536,2.435316949,0.898168125,,0.825394773,1.008644375,0.050737384,0.010955516,0.012347991,0.015358382,0.02452834,0.015107567,0.791846509,0.949783337,0.593033489,0.430978033,0.555032641,,0.865279158,1.058054731,0.053307864,0.011564332,0.012987324,0.016163673,0.025786895,0.015841176,0.625413904,0.767533236,0.533929494,0.306693597,0.29974001,,0.012371522,0.013354137,0.013026892,0.00708477,0.010805088,0.005950157,0.002568598,0.008986497,0.010788696,0.012177911,0.010705175,0.006596228,0.009043604,,0.00890285,0.009706694,0.009404789,0.005116101,0.007762762,0.004298627,0.001870618,0.006512213,0,0,0.003493309,0,0.00428028
