sma,coef.RNA.log.ACT2,r.sqr.RNA.log.ACT2,aic.RNA.log.ACT2,loglik.RNA.log.ACT2,coef.RNA.ACT2,r.sqr.RNA.ACT2,aic.RNA.ACT2,loglik.RNA.ACT2,coef.RNA.log.PP2A,r.sqr.RNA.log.PP2A,aic.RNA.log.PP2A,loglik.RNA.log.PP2A,coef.RNA.PP2A,r.sqr.RNA.PP2A,aic.RNA.PP2A,loglik.RNA.PP2A
25,6.00915005977856,0.723602470508004,359.623595125149,-176.811797562575,4.32108796547243,0.478891907550136,437.090073100742,-215.545036550371,5.87463160335484,0.709814738245937,362.931946200693,-178.465973100346,8.53433630551503,0.281189633885196,876.344227195498,-435.172113597749
26,6.03482160724052,0.728820445333225,355.811797352364,-174.905898676182,4.33088702902275,0.48042182168214,436.502032198454,-215.251016099227,5.90021351863331,0.715207347713852,359.199069773706,-176.599534886853,8.56275935210597,0.282748331821512,875.912238877826,-434.956119438913
27,6.04708421843907,0.734075046810229,351.898392008811,-172.949196004405,4.3332884750952,0.482459621587031,435.716084434191,-214.858042217096,5.91300247672458,0.720705651900314,355.319536346616,-174.659768173308,8.57328399975043,0.284388669761563,875.456609284442,-434.728304642221
28,6.06293345258735,0.738902484238899,348.23435661656,-171.11717830828,4.34140272036725,0.484907624699776,434.767825650093,-214.383912825046,5.92755857674342,0.725322178865919,352.002726640786,-173.001363320393,8.58532671099385,0.285607077242827,875.117500995868,-434.558750497934
29,6.09204687228204,0.745290503151458,343.280297926847,-168.640148963423,4.35432507352179,0.487324395386063,433.827233925893,-213.913616962947,5.95449707769564,0.731220033647421,347.683277334468,-170.841638667234,8.60331466214415,0.286527022014228,874.861077707457,-434.430538853728
30,6.11116343805824,0.750126496848731,339.446524869356,-166.723262434678,4.35982097280952,0.488653892276849,433.307909922594,-213.653954961297,5.97135208405754,0.735537103351599,344.461047086996,-169.230523543498,8.61905888207312,0.287643778783027,874.549350829428,-434.274675414714
31,6.15263841952234,0.753213439538943,336.960331460133,-165.480165730067,4.38532946866567,0.489752960722861,432.877574667011,-213.438787333505,6.00760849593935,0.737554368062533,342.937300109896,-168.468650054948,8.67193788031479,0.288469015972017,874.318683374322,-434.159341687161
32,6.16907007733632,0.756020001646529,334.672813981249,-164.336406990625,4.38594394947707,0.489099674624487,433.133477472077,-213.566738736039,6.02175111265107,0.739892929950249,341.156132695554,-167.578066347777,8.67301197995885,0.288097327560138,874.422609532466,-434.211304766233
33,6.18501376528716,0.75786712180881,333.152896166896,-163.576448083448,4.39550690834164,0.489899504947708,432.82012591708,-213.41006295854,6.03698581636961,0.741640806343123,339.814372414282,-166.907186207141,8.69470639299768,0.288761448372083,874.236879474288,-434.118439737144
34,6.20361088372134,0.759680104539341,331.649751101873,-162.824875550936,4.40127275016714,0.489413067698712,433.010757161392,-213.505378580696,6.05484742546869,0.743427328222383,338.433532329214,-166.216766164607,8.70949824411747,0.288731687051324,874.245206327366,-434.122603163683
35,6.22322562923091,0.762790984359547,329.043899387557,-161.521949693778,4.40339627520967,0.488795658386955,433.252454033408,-213.626227016704,6.0731676695948,0.746329863487522,336.169470048191,-165.084735024096,8.71963890147752,0.288784141418738,874.23053000361,-434.115265001805
36,6.24098190064738,0.766400729516953,325.976989990262,-159.988494995131,4.41252095136779,0.49034411269081,432.645728275069,-213.322864137535,6.08870852320722,0.749482000064561,333.681179244411,-163.840589622205,8.74018573328651,0.289886656375743,873.921804171328,-433.960902085664
37,6.25940372297329,0.769505088597762,323.301321556251,-158.650660778126,4.42057254863577,0.491224426479455,432.299975402442,-213.149987701221,6.10574324265762,0.752383241543612,331.363117423259,-162.681558711629,8.76122922450774,0.29078244753959,873.670611914799,-433.835305957399
38,6.27628647560522,0.771965995460169,321.154516497321,-157.57725824866,4.42839795245735,0.491884658320037,432.040269302806,-213.020134651403,6.12008724015203,0.754343692427275,329.7813088598,-161.8906544299,8.77665225913274,0.291197661588491,873.554072508512,-433.777036254256
39,6.29298340370515,0.775859850439459,317.709869164377,-155.854934582188,4.42964685559633,0.492023284016239,431.985697201384,-212.992848600692,6.13436510264019,0.75771854161965,327.028475421294,-160.514237710647,8.77891628572028,0.291290654763848,873.527962470568,-433.763981235284
40,6.30801257735404,0.778443330143196,315.391244910228,-154.695622455114,4.43246060056463,0.491936457701156,432.019879435636,-213.009939717818,6.14682604647656,0.759679767470175,325.411050119498,-159.705525059749,8.78447295221792,0.291230058194053,873.544976782533,-433.772488391266
