calendar.date,days,K27.I.FUS3.mean,K27.II.FUS3.mean,K27.III.FUS3.mean,K27.IV.FUS3.mean,K27.V.FUS3.mean,K27.VI.FUS3.mean,K27.VII.FUS3.mean,K27.VIII.FUS3.mean,,K27.I.FUS3.SD,K27.II.FUS3.SD,K27.III.FUS3.SD,K27.IV.FUS3.SD,K27.V.FUS3.SD,K27.VI.FUS3.SD,K27.VII.FUS3.SD,K27.VIII.FUS3.SD,,K27.I.STM.mean,K27.II.STM.mean,K27.III.STM.mean,K27.IV.STM.mean,K27.V.STM.mean,K27.VI.STM.mean,K27.VII.STM.mean,K27.VIII.STM.mean,,K27.I.STM.SD,K27.II.STM.SD,K27.III.STM.SD,K27.IV.STM.SD,K27.V.STM.SD,K27.VI.STM.SD,K27.VII.STM.SD,K27.VIII.STM.SD
19 Mar. 2013,200,1.183764109,1.378491376,1.028355757,0.940602702,0.999162895,0.9543965,0.545897527,0.198675843,,0.097216357,0.429239667,0.188012814,0.086694461,0.156964469,0.363764946,0.215734617,0.104567119,,0.925733866,1.045590719,0.787527391,0.734735462,0.769405429,0.714949113,0.405430213,0.150645043,,0.17382884,0.224418562,0.052210824,0.125631687,0.087323954,0.264288577,0.149155061,0.078999712
2 Apr. 2013,214,1.011086823,1.274222952,1.053547321,0.832038426,0.956559019,0.780610178,0.508869445,0.129683315,,0.116540321,0.217968394,0.181340562,0.206233654,0.123671657,0.126487439,0.085199522,0.034861949,,0.815353687,1.028666384,0.845736081,0.665093509,0.770283139,0.631833883,0.408379905,0.103856183,,0.101390955,0.192914272,0.117328514,0.12890638,0.095092143,0.122739774,0.051956971,0.024801505
16 Apr. 2013,228,0.776418509,1.041676082,1.073326518,0.815969882,1.006364674,0.66241481,0.380121903,0.105181495,,0.128623446,0.188279791,0.154099089,0.121607523,0.115037653,0.082749745,0.113147397,0.05169383,,0.586646744,0.783522224,0.812624201,0.624442954,0.760652838,0.496540333,0.28190097,0.07668016,,0.102901347,0.126723277,0.138784148,0.149270216,0.109808049,0.020912437,0.061487435,0.028054894
30 Apr. 2013,242,0.346636514,0.455891964,0.606668591,0.534208931,0.576596975,0.31182217,0.167252385,0.076164158,,0.056789069,0.05131687,0.068255937,0.129174404,0.082010384,0.069288255,0.046206061,0.034010067,,0.274369614,0.361641349,0.482244109,0.426600347,0.45897184,0.24799001,0.13244861,0.06020975,,0.036846627,0.035392318,0.058910216,0.116179603,0.076212984,0.058230474,0.033911809,0.025955944
13-May-13,255,0.251007084,0.331646702,0.418568322,0.359072082,0.327926928,0.233519493,0.096094568,0.057411638,,0.053183021,0.059735562,0.083134869,0.095924272,0.096443491,0.112970093,0.024999918,0.025984367,,0.202886142,0.269563187,0.338115002,0.290384639,0.264623747,0.18624954,0.077440403,0.04625768,,0.034773369,0.042271071,0.049093997,0.072984275,0.070509992,0.085111094,0.016842606,0.020427759
28-May-13,270,0.108068833,0.152705434,0.204622992,0.161388908,0.144612197,0.107940917,0.038835687,0.023610624,,0.033496226,0.04491453,0.041517013,0.093735003,0.070108871,0.059075599,0.022276491,0.012419128,,0.082881475,0.117473147,0.157131772,0.124543688,0.111495375,0.083688327,0.030125417,0.018288967,,0.026596681,0.037303409,0.037123148,0.073220869,0.054720491,0.046948537,0.017615282,0.010033704
11 Jun. 2013,284,0.093035581,0.158762828,0.180910199,0.219792398,0.156504397,0.134596512,0.041990683,0.031769225,,0.03224549,0.041427181,0.051823214,0.117144215,0.046868699,0.062158085,0.023957546,0.009231766,,0.070670374,0.118754939,0.136968053,0.164076418,0.118643026,0.100316,0.031182982,0.023893846,,0.025614594,0.025550383,0.039586183,0.080286758,0.036733522,0.041493543,0.016041204,0.006339206
2 Jul. 2013,305,0.037212513,0.068418417,0.092355421,0.102026135,0.091217762,0.077997638,0.010676221,0.018564123,,0.011190406,0.030049547,0.046181987,0.043281062,0.05561355,0.045150534,0.007311253,0.006818108,,0.026611462,0.048975858,0.067185841,0.072936576,0.064061311,0.054072688,0.007993071,0.013109961,,0.007237493,0.02209157,0.037213897,0.031213171,0.037478416,0.0259388,0.006092838,0.00372405
16 Jul. 2013,319,0.021341243,0.033980002,0.039951546,0.037701572,0.035234074,0.034405945,0.008465486,0.01102287,,0.006522654,0.01299561,0.020755894,0.015900198,0.013836216,0.023211659,0.006164782,0.004337741,,0.01633994,0.025821113,0.030085226,0.028461313,0.026549734,0.026127446,0.006406235,0.008317212,,0.005307968,0.009955172,0.015695356,0.011677803,0.009934267,0.018076077,0.004780541,0.003148038
30 Jul. 2013,333,0.035736712,0.040926461,0.03133445,0.022170059,0.022681836,0.025170337,0.010744281,0.014563923,,0.005961772,0.017051138,0.017700115,0.011756003,0.020121396,0.022683948,0.003721038,0.008307891,,0.028305045,0.032592207,0.024634033,0.017321153,0.017955833,0.019889488,0.008556263,0.011488754,,0.006096254,0.014567158,0.014223021,0.009286772,0.016312946,0.018278284,0.003292351,0.006605926
