calendar.date,days,K4.I.ACT2.mean,K4.II.ACT2.mean,K4.III.ACT2.mean,K4.IV.ACT2.mean,K4.V.ACT2.mean,K4.VI.ACT2.mean,K4.VII.ACT2.mean,K4.VIII.ACT2.mean,,K4.I.ACT2.SD,K4.II.ACT2.SD,K4.III.ACT2.SD,K4.IV.ACT2.SD,K4.V.ACT2.SD,K4.VI.ACT2.SD,K4.VII.ACT2.SD,K4.VIII.ACT2.SD,,K4.I.PP2AA3.mean,K4.II.PP2AA3.mean,K4.III.PP2AA3.mean,K4.IV.PP2AA3.mean,K4.V.PP2AA3.mean,K4.VI.PP2AA3.mean,K4.VII.PP2AA3.mean,K4.VIII.PP2AA3.mean,,K4.I.PP2AA3.SD,K4.II.PP2AA3.SD,K4.III.PP2AA3.SD,K4.IV.PP2AA3.SD,K4.V.PP2AA3.SD,K4.VI.PP2AA3.SD,K4.VII.PP2AA3.SD,K4.VIII.PP2AA3.SD
19 Mar. 2013,200,0.284548472,0.310416354,0.005921606,0.005340798,0.009551372,0.033033126,0.079962241,0.034891762,,0.063377363,0.090401284,0.002788832,0.001865697,0.004527249,0.010081136,0.042882655,0.005732103,,0.343154309,0.373362952,0.00703692,0.006438869,0.011402365,0.039503346,0.094909241,0.041957051,,0.071168008,0.104215393,0.003052018,0.002108179,0.005126004,0.010211456,0.046014679,0.00451056
2 Apr. 2013,214,0.327771964,0.3245357,0.008056431,0.006127218,0.007787936,0.018964138,0.047252598,0.023965883,,0.141111627,0.13642234,0.003959361,0.002417283,0.006426876,0.014773049,0.031891282,0.014385784,,0.444507703,0.43746107,0.010794774,0.00828798,0.009968366,0.024394081,0.062054663,0.031928454,,0.115969594,0.111820988,0.003848334,0.002128673,0.007028701,0.016048264,0.036452344,0.016471428
16 Apr. 2013,228,0.609364787,0.70220303,0.031622128,0.011712037,0.018276905,0.031710325,0.05240533,0.024851765,,0.062748095,0.077953297,0.008443066,0.004197266,0.008771512,0.020779993,0.036240744,0.013888003,,0.76968573,0.877190953,0.038882971,0.014507553,0.02194278,0.036759175,0.061378393,0.029995548,,0.180408438,0.138685946,0.007779071,0.004660421,0.008720655,0.020561473,0.03801861,0.015005559
30 Apr. 2013,242,0.745899337,0.790597914,0.023180101,0.010458008,0.01121365,0.014309571,0.025751678,0.014693945,,0.12132352,0.213215355,0.013448676,0.005555487,0.006428879,0.007382401,0.016856129,0.008385319,,1.019151059,1.074661041,0.031076944,0.014341092,0.015246822,0.019227807,0.034351498,0.019894722,,0.04960814,0.197094233,0.016176465,0.006859333,0.008114685,0.009016016,0.021279208,0.010401375
13-May-13,255,0.778116039,0.776022527,0.05223978,0.016575222,0.015999113,0.02776552,0.044252225,0.028479054,,0.120130325,0.170186609,0.018842669,0.004468856,0.007477573,0.005799188,0.011533633,0.003385689,,1.002734886,0.99433355,0.067382436,0.021336682,0.02047691,0.035482805,0.057040782,0.036772522,,0.205167487,0.217915418,0.02453232,0.005976966,0.009206975,0.007258084,0.017894053,0.007173422
28-May-13,270,0.752225488,0.728614839,0.039475541,0.012810747,0.012291069,0.017536267,0.027394388,0.016309825,,0.040417234,0.075326521,0.015492465,0.011071678,0.0085293,0.007763278,0.006728076,0.00641086,,1.0965767,1.049905726,0.057699245,0.017444142,0.017999934,0.025923772,0.040018693,0.023833861,,0.324391637,0.253153974,0.030590695,0.012940794,0.014555068,0.016132232,0.016806953,0.012621489
11 Jun. 2013,284,0.787136554,0.738667238,0.058360175,0.017664879,0.016878001,0.025055794,0.033142261,0.01834938,,0.058749883,0.065938367,0.017271742,0.007444408,0.007068786,0.014855877,0.013095073,0.008338774,,0.94595011,0.891675589,0.07101767,0.021393452,0.020600943,0.030261476,0.040112932,0.022720673,,0.079724966,0.136070981,0.023925077,0.009080242,0.009082551,0.017491233,0.015985845,0.011434948
2 Jul. 2013,305,0.850472876,0.921777825,0.036140833,0.010016152,0.008808205,0.011737848,0.009598804,0.008281739,,0.080999838,0.078770204,0.014248457,0.002865775,0.002487011,0.001242044,0.003169256,0.001518367,,1.109081937,1.203943397,0.047716509,0.013150592,0.012012418,0.01547396,0.012981808,0.010842547,,0.084123264,0.108175505,0.019858978,0.004127895,0.00538315,0.003042151,0.006138772,0.002214322
16 Jul. 2013,319,0.847774537,0.868447034,0.059394462,0.016486557,0.015562602,0.020804243,0.022136203,0.017162597,,0.052760002,0.102667285,0.009647031,0.004763846,0.002621558,0.003993906,0.008454112,0.009125997,,0.934799091,0.95701082,0.065287703,0.017981658,0.017034605,0.022884427,0.024434927,0.019023621,,0.060428349,0.110766289,0.009121518,0.004128689,0.001412281,0.00415219,0.009778855,0.010668348
30 Jul. 2013,333,0.924832801,0.928338506,0.09099225,0.019525373,0.015779156,0.028284489,0.044882039,0.030078417,,0.036028077,0.040087371,0.007558738,0.005743012,0.002978288,0.002752341,0.027481415,0.011220288,,1.151082864,1.15499994,0.112896457,0.02395864,0.019957128,0.035262824,0.054420319,0.037000961,,0.095144921,0.090250045,0.006781493,0.005641167,0.006001364,0.004805608,0.030798537,0.012114002
