calendar.date,days,K27_VI_FUS3_mean,K27_VII_FUS3_mean,K27_VIII_FUS3_mean,K27_VI_STM_mean,K27_VII_STM_mean,K27_VIII_STM_mean,K4_VI_ACT2_mean,K4_VII_ACT2_mean,K4_VIII_ACT2_mean,K4_VI_PP2AA3_mean,K4_VII_PP2AA3_mean,K4_VIII_PP2AA3_mean,K27_VI_FUS3_SD,K27_VII_FUS3_SD,K27_VIII_FUS3_SD,K27_VI_STM_SD,K27_VII_STM_SD,K27_VIII_STM_SD,K4_VI_ACT2_SD,K4_VII_ACT2_SD,K4_VIII_ACT2_SD,K4_VI_PP2AA3_SD,K4_VII_PP2AA3_SD,K4_VIII_PP2AA3_SD
2 Jul. 2013,305,0.077997638,0.010676221,0.018564123,0.054072688,0.007993071,0.013109961,0.011737848,0.009598804,0.008281739,0.01547396,0.012981808,0.010842547,0.045150534,0.007311253,0.006818108,0.0259388,0.006092838,0.00372405,0.001242044,0.003169256,0.001518367,0.003042151,0.006138772,0.002214322
16 Jul. 2013,319,0.034405945,0.008465486,0.01102287,0.026127446,0.006406235,0.008317212,0.020804243,0.022136203,0.017162597,0.022884427,0.024434927,0.019023621,0.023211659,0.006164782,0.004337741,0.018076077,0.004780541,0.003148038,0.003993906,0.008454112,0.009125997,0.00415219,0.009778855,0.010668348
30 Jul. 2013,333,0.025170337,0.010744281,0.014563923,0.019889488,0.008556263,0.011488754,0.028284489,0.044882039,0.030078417,0.035262824,0.054420319,0.037000961,0.022683948,0.003721038,0.008307891,0.018278284,0.003292351,0.006605926,0.002752341,0.027481415,0.011220288,0.004805608,0.030798537,0.012114002
13 Aug. 2013,347,0.010446463,0.007300538,0.011610451,0.008495134,0.005860774,0.009256057,0.027523067,0.029052307,0.024558349,0.037502408,0.039626618,0.03364883,0.00299925,0.001150111,0.002053615,0.003611293,0.001768768,0.002621329,0.00295127,0.004705878,0.0053152,0.005099769,0.00734945,0.008667666
27 Aug. 2013,361,0.007552256,0.004889063,0.009300868,0.005147234,0.003397484,0.00609628,0.01252735,0.022038419,0.013710426,0.01437071,0.025311342,0.015713276,0.003747184,0.001974098,0.002883005,0.002411099,0.001785789,0.001098995,0.002748715,0.007583419,0.004974845,0.002680681,0.008121939,0.005242707
10 Sep. 2013,375,0.030145843,0.038436924,0.011713732,0.0237676,0.030684555,0.009411656,0.03611915,0.067188318,0.049014246,0.039428664,0.072506411,0.051496545,0.041936662,0.067036319,0.002363574,0.033561748,0.053427699,0.002567003,0.036499676,0.078418888,0.043418641,0.035794644,0.076676461,0.041504332
24 Sep. 2013,389,0.004883103,0.003031658,0.007411351,0.00362501,0.00224889,0.005530951,0.014645732,0.014461146,0.014758135,0.017740037,0.017292444,0.017616451,0.001195365,0.000590045,0.001809401,0.000925737,0.000449378,0.001500217,0.009790737,0.00602539,0.010499287,0.012693994,0.007251351,0.012691521
8 Oct. 2013,403,0.002741392,0.002112706,0.00916893,0.001985088,0.001556508,0.006668235,0.014579528,0.024143627,0.020928107,0.018692896,0.030078603,0.026341045,0.000955264,0.000699724,0.00128336,0.000738632,0.000657682,0.001366971,0.004133135,0.014462227,0.008220168,0.003195661,0.015275651,0.006915786
22 Oct. 2013,417,0.007004323,0.006305428,0.012097794,0.004923443,0.004441941,0.008491518,0.011523763,0.025280501,0.019914607,0.014335114,0.033022711,0.025186875,0.004528575,0.003818029,0.005772594,0.003032587,0.002552298,0.003679238,0.001664648,0.012623415,0.007696018,0.001980632,0.019715095,0.011558157
5 Nov. 2013,431,0.003683815,0.003131017,0.006524878,0.002678563,0.002278835,0.004758404,0.023425885,0.0472696,0.0402083,0.031006068,0.060730488,0.05100444,0.001120669,0.001210379,0.001782966,0.000823306,0.000882305,0.001411115,0.007762903,0.027451676,0.010639316,0.017351103,0.036560898,0.016764119
19 Nov. 2013,445,0.006038195,0.004410088,0.004633119,0.004071186,0.002766156,0.003102251,0.071490033,0.164368863,0.075567455,0.097782368,0.223603877,0.10247894,0.001920616,0.005558219,0.001806198,0.00104316,0.003338255,0.001007336,0.034464634,0.020955038,0.032308055,0.05050035,0.038733904,0.046311096
3 Dec. 2013,459,0.005708447,0.004565519,0.006885383,0.004031099,0.003161558,0.004840237,0.158999758,0.48268736,0.207198098,0.219177763,0.662332028,0.28423305,0.003296156,0.001978659,0.003991625,0.002439558,0.001266154,0.002903479,0.014355689,0.050968547,0.011547375,0.035412419,0.086622405,0.024346631
17 Dec. 2013,473,0.0134612,0.006493331,0.01028326,0.009009483,0.004297878,0.007132156,0.123635153,0.255477435,0.12577243,0.180303453,0.37084635,0.184457995,0.010663498,0.00325452,0.004428313,0.008510258,0.002819663,0.004246062,0.045354335,0.101639995,0.046064207,0.043192325,0.107169066,0.049763123
7 Jan. 2014,494,0.016802712,0.012012714,0.019756473,0.011839308,0.008372669,0.013901965,0.312193743,0.590805405,0.327012298,0.453946265,0.85495635,0.470543193,0.005871182,0.00236209,0.005118373,0.004509033,0.001570939,0.003937498,0.022416222,0.117860827,0.035618567,0.073984869,0.193292741,0.034626094
21 Jan. 2014,508,0.047213328,0.012322866,0.018382249,0.031279699,0.00719209,0.01277831,0.283955025,0.512067275,0.263534,0.39288595,0.708670725,0.36441875,0.030839354,0.000874636,0.008830592,0.025966362,0.002374933,0.007416243,0.136577095,0.274478137,0.11958027,0.201028173,0.398603696,0.17764439
4 Feb. 2014,522,0.064004431,0.025305429,0.026072162,0.045953403,0.01799961,0.017980444,0.197514033,0.44107008,0.223463355,0.274253193,0.608975105,0.304337928,0.040701581,0.013216775,0.005628721,0.032228875,0.010198024,0.003534019,0.075474949,0.139326291,0.069290718,0.105778422,0.178892018,0.058005541
18 Feb. 2014,536,0.089122588,0.015465303,0.021408224,0.064927091,0.011255721,0.015995681,0.123079235,0.259196615,0.141450438,0.248755008,0.509720958,0.27568151,0.032255021,0.005735466,0.009882749,0.025276499,0.004435933,0.008700934,0.068530438,0.095970653,0.052330384,0.222813527,0.364983765,0.197321274
