date,days from 120901,FLC.mean,FLC.log10mean,FLC.mean_norm,FLC.log10mean_norm,FLC.log10mean_norm.2,FLC.log10.difference.from.min,FLC.log10.relative.to.max,,,FLC_PP2A_mean.mean,FLC_PP2A_mean.log10mean,FLC_PP2A_mean.log10mean.difference.from.min,FLC_PP2A_mean.log10mean.relative.to.max,,K4_I_ACT2_mean,K4_II_ACT2_mean,K4_III_ACT2_mean,K4_IV_ACT2_mean,K4_V_ACT2_mean,K4_VI_ACT2_mean,K4_VII_ACT2_mean,K4_VIII_ACT2_mean,K4_I_ACT2_mean_norm,K4_II_ACT2_mean_norm,K4_III_ACT2_mean_norm,K4_IV_ACT2_mean_norm,K4_V_ACT2_mean_norm,,K4_I_PP2A_mean,K4_II_PP2A_mean,K4_III_PP2A_mean,K4_IV_PP2A_mean,K4_V_PP2A_mean,K4_VI_PP2AA3_mean,K4_VII_PP2AA3_mean,K4_VIII_PP2AA3_mean,K4_I_PP2A_mean_norm,K4_II_PP2A_mean_norm,K4_III_PP2A_mean_norm,K4_IV_PP2A_mean_norm,K4_V_PP2A_mean_norm,,K27_I_FUS3_mean,K27_II_FUS3_mean,K27_III_FUS3_mean,K27_IV_FUS3_mean,K27_V_FUS3_mean,K27_VI_FUS3_mean,K27_VII_FUS3_mean,K27_VIII_FUS3_mean,K27_I_FUS3_mean_norm,K27_II_FUS3_mean_norm,K27_III_FUS3_mean_norm,K27_IV_FUS3_mean_norm,K27_V_FUS3_mean_norm,,K27_I_STM_mean,K27_II_STM_mean,K27_III_STM_mean,K27_IV_STM_mean,K27_V_STM_mean,K27_VI_STM_mean,K27_VII_STM_mean,K27_VIII_STM_mean,K27_I_STM_mean_norm,K27_II_STM_mean_norm,K27_III_STM_mean_norm,K27_IV_STM_mean_norm,K27_V_STM_mean_norm
130305,186,0.001227637,-2.918292165,0.000351896,-6.368780646,0.650965939,0.261162336,0.071704392,,,0.001982892,-2.707414277,0.312983089,0.08290419,,0.133914363,0.136186948,0.005354151,0.00446473,0.006526227,0.061331928,0.132511163,0.073798065,0.12038993,0.134402336,0.038150044,0.073180859,0.130599576,,0.18344582,0.186648125,0.007320827,0.006054059,0.008925822,0.084439249,0.182490882,0.100308976,0,0,0.011026779,0.016921492,0,,1.210735506,1.338938526,1.030849612,0.76323843,0.621316893,0.416336038,0.244519234,0.110371693,1,0.971307147,0.960424992,0.811435506,0.617387423,,0.848327851,0.937313422,0.720377088,0.535921242,0.43531399,0.29327044,0.170818543,0.076558725,0.915090063,0.894020472,0.850110747,0.724951683,0.560392812
130319,200,0.00597964,-2.30455342,0.001714033,-5.458663696,1.561082889,0.874901081,0.240211707,,,0.015426542,-2.074384838,0.946012528,0.250583513,,0.284548472,0.310416354,0.005921606,0.005340798,0.009551372,0.033033126,0.079962241,0.034891762,0.255811025,0.306348616,0.042193341,0.087540394,0.191137253,,0.343154309,0.373362952,0.00703692,0.006438869,0.011402365,0.039503346,0.094909241,0.040978333,0.143486763,0.183540445,0.009055029,0.023412183,0.057418727,,1.183764109,1.378491376,1.028355757,0.940602702,0.999162895,0.954396499,0.545897525,0.198675842,0.977723131,1,0.95810151,1,0.992843768,,0.925733866,1.045590719,0.787527391,0.734735462,0.769405429,0.714949113,0.405430213,0.150645043,1,1,0.930401028,1,0.99884811
130402,214,0.043722837,-1.689159859,0.012532923,-3.360859037,3.658887548,1.490294642,0.409173365,,,0.132971853,-1.245395647,1.77500172,0.470169425,,0.327771964,0.3245357,0.008056431,0.006127218,0.007787936,0.018964138,0.047252598,0.023965883,0.294669241,0.320282941,0.057404654,0.100430508,0.155848259,,0.444507703,0.43746107,0.010794774,0.00828798,0.009968366,0.024394081,0.068287638,0.031928454,0.234545607,0.246548816,0.035153524,0.054601626,0.024171415,,1.011086823,1.274222952,1.053547321,0.832038426,0.956559019,0.780610181,0.541542699,0.129683314,0.835101323,0.924360481,0.98157206,0.884580094,0.950509337,,0.815353687,1.028666384,0.845736081,0.665093509,0.770283139,0.631833883,0.408379905,0.103856183,0.878919306,0.983434819,1,0.903654266,1
130416,228,0.387912929,-0.446199541,0.111193214,-0.964226568,6.055520018,2.73325496,0.750438939,,,0.810699389,-0.148126275,2.872271092,0.760818445,,0.609364787,0.70220303,0.031622128,0.011712037,0.018276905,0.031710325,0.05240533,0.024851765,0.547823117,0.693001267,0.225317806,0.191970607,0.36574823,,0.76968573,0.877190953,0.038882971,0.014507553,0.02194278,0.036759174,0.061378395,0.029995549,0.526695027,0.67880275,0.230227539,0.159508802,0.301798576,,0.776418509,1.041676082,1.073326518,0.815969882,1.006364674,0.662414807,0.380121902,0.105181496,0.641278384,0.755663836,1,0.867496851,1,,0.586646744,0.783522224,0.812624201,0.624442954,0.760652838,0.496540333,0.28190097,0.07668016,0.628040971,0.743492899,0.960408784,0.847416504,0.987361375
130430,242,0.754687644,-0.223724045,0.216327269,-0.483462326,6.536284259,2.955730456,0.811521523,,,2.362001896,0.256811001,3.277208368,0.86807982,,0.745899337,0.790597914,0.023180101,0.010458008,0.01121365,0.014309571,0.025751678,0.014693945,0.670568613,0.780237813,0.165165654,0.171415971,0.224401909,,1.019151059,1.074661041,0.031076944,0.014341092,0.015246822,0.019227807,0.034351497,0.019894722,0.750821952,0.872915603,0.176014268,0.15670106,0.146552582,,0.346636514,0.455891964,0.606668591,0.534208931,0.576596975,0.311822171,0.167252389,0.076164157,0.286302427,0.330718038,0.565222773,0.567943224,0.572950333,,0.274369614,0.361641349,0.482244109,0.426600347,0.45897184,0.24799001,0.13244861,0.06020975,0.285490959,0.330564821,0.565379884,0.57371236,0.591440928
130513,255,1.472524802,0.068061796,0.422091538,0.147079918,7.166826503,3.247516297,0.891633866,,,3.100995492,0.429378737,3.449776103,0.91379024,,0.778116039,0.776022527,0.05223978,0.016575222,0.015999113,0.02776552,0.044252225,0.028479054,0.699531648,0.765853424,0.372225193,0.271682499,0.320166204,,1.002734886,0.99433355,0.067382436,0.021336682,0.02047691,0.035482805,0.057040782,0.036772522,0.736073184,0.793953778,0.428157831,0.274697519,0.267812335,,0.251007084,0.331646702,0.418568322,0.359072082,0.327926928,0.23351949,0.096094568,0.057411639,0.207317852,0.240586708,0.389972963,0.381746811,0.32585298,,0.202886142,0.269563187,0.338115002,0.290384639,0.264623747,0.18624954,0.077440403,0.04625768,0.20707771,0.240440663,0.393047579,0.385265571,0.336382159
130528,270,1.942401134,0.199483026,0.556779132,0.431078062,7.450824647,3.378937527,0.927716708,,,3.922253098,0.482617048,3.503014414,0.927892213,,0.752225488,0.728614839,0.039475541,0.012810747,0.012291069,0.017536267,0.027394388,0.016309825,0.676255866,0.719066973,0.281275895,0.209979436,0.245962677,,1.0965767,1.049905726,0.057699245,0.017444142,0.017999934,0.025923771,0.040018693,0.023833861,0.820383405,0.848581159,0.360907557,0.209041022,0.210383569,,0.108068833,0.152705434,0.204622992,0.161388908,0.144612197,0.107940917,0.038835686,0.023610624,0.089258829,0.110777213,0.19064375,0.171580315,0.143697609,,0.082881475,0.117473147,0.157131772,0.124543688,0.111495375,0.083688327,0.030125417,0.018288967,0.075439507,0.091578148,0.176649534,0.155833922,0.135419374
130611,284,3.48863853,0.462753834,1,1,8.019746585,3.642208335,1,,,5.778500961,0.706619366,3.727016733,0.987226826,,0.787136554,0.738667238,0.058360175,0.017664879,0.016878001,0.025055794,0.033142261,0.01834938,0.707641153,0.728987643,0.41583497,0.28954293,0.337754067,,0.94595011,0.891675589,0.07101767,0.021393452,0.020600943,0.030261476,0.040112932,0.022720673,0.685056085,0.693041129,0.453404723,0.275655074,0.270688044,,0.093035581,0.158762828,0.180910199,0.219792398,0.156504397,0.134596512,0.043829073,0.031769225,0.076842201,0.115171434,0.168550945,0.233671876,0.155514598,,0.070670374,0.118754939,0.136968053,0.164076418,0.118643026,0.100316,0.031182982,0.023893846,0.062044633,0.092832739,0.152540176,0.210525236,0.144799817
130702,305,1.99043115,0.250862081,0.570546685,,,3.430316582,0.941823275,,,2.045783067,0.254610161,3.275007527,0.867496853,,0.850472876,0.921777825,0.036140833,0.010016152,0.008808205,0.011737848,0.009598804,0.008281739,0.76458094,0.909698725,0.257515028,0.164173553,0.176265364,,1.109081937,1.203943397,0.047716509,0.013150592,0.012012418,0.01547396,0.012981808,0.010842547,0.831618475,1,0.291576927,0.136620583,0.071562824,,0.037212513,0.068418417,0.092355421,0.102026135,0.091217762,0.077997638,0.010676221,0.018564123,0.030735461,0.049632822,0.086045969,0.108468894,0.090640862,,0.026611462,0.048975858,0.067185841,0.072936576,0.064061311,0.054072688,0.007993071,0.013109961,0.013714546,0.02453445,0.069102974,0.084438379,0.073167804
130716,319,1.084937878,0.027460042,0.310991772,,,3.206914543,0.880486301,,,1.408711512,0.13798837,3.158385736,0.836605615,,0.847774537,0.868447034,0.059394462,0.016486557,0.015562602,0.020804243,0.022136203,0.017162597,0.762155115,0.857066788,0.4232046,0.270229195,0.311430951,,0.934799091,0.95701082,0.065287703,0.017981658,0.017034605,0.022884427,0.024434926,0.019023621,0.675037685,0.757265581,0.413609799,0.218107446,0.188002386,,0.021341243,0.033980002,0.039951546,0.037701572,0.035234074,0.034405946,0.008465486,0.01102287,0.017626677,0.024650137,0.037222173,0.040082355,0.035011239,,0.01633994,0.025821113,0.030085226,0.028461313,0.026549734,0.026127446,0.006406235,0.008317212,0.002447278,0.001871076,0.024742507,0.022909348,0.023938319
130730,333,1.383070671,0.114766727,0.396449979,,,3.294221228,0.904457111,,,1.711775059,0.208100037,3.228497404,0.855177069,,0.924832801,0.928338506,0.09099225,0.019525373,0.015779156,0.028284489,0.044882039,0.030078417,0.831431022,0.916173434,0.648348975,0.320038065,0.315764518,,1.151082864,1.15499994,0.112896457,0.02395864,0.019957128,0.035262824,0.054420319,0.037000961,0.869353332,0.951888642,0.744255115,0.318922776,0.255761173,,0.035736712,0.040926461,0.03133445,0.022170059,0.022681836,0.025170337,0.010744281,0.014563922,0.029516531,0.029689312,0.029193772,0.023570056,0.022538387,,0.028305045,0.032592207,0.024634033,0.017321153,0.017955833,0.019889488,0.008556263,0.011488754,0.015572309,0.008498479,0.018224624,0.007497562,0.012659845
130813,347,2.25287467,0.337100522,0.645774749,,,3.516555023,0.96550079,,,5.028777442,0.615903326,3.636300693,0.963197605,,0.950802912,0.793603915,0.109465827,0.025180681,0.024435705,0.027523067,0.029052307,0.024558349,0.85477833,0.783204423,0.779979139,0.412733561,0.488995023,,1.296499636,1.075922292,0.149720494,0.03388108,0.032922966,0.037502408,0.039626618,0.03364883,1,0.874155411,1,0.486287185,0.556374531,,0.022397244,0.031057373,0.021226889,0.015152623,0.016811238,0.010446463,0.007300537,0.011610451,0.018498874,0.022529973,0.019776731,0.016109483,0.016704917,,0.017789931,0.023961159,0.017149488,0.011901662,0.012870379,0.008495134,0.005860774,0.009256057,0.004037835,5.06E-05,0.009275503,0,0.005985791
130827,361,2.265682856,0.334894587,0.649446148,,,3.514349088,0.964895131,,,9.300597697,0.754841144,3.77523851,1,,1.103350144,0.982085578,0.051509997,0.018058982,0.014097865,0.01252735,0.022038419,0.013710426,0.991919336,0.969216197,0.367025252,0.296002633,0.282119367,,1.274732355,1.133999848,0.059825388,0.02085287,0.016362198,0.01437071,0.025311342,0.01684398,0.98044364,0.931245577,0.375673733,0.266536935,0.172412609,,0.024558574,0.036554532,0.020035268,0.024541251,0.019158206,0.007552256,0.004889063,0.009300868,0.020284013,0.026517781,0.018666518,0.026090985,0.019037041,,0.01781585,0.024808864,0.012796824,0.016371265,0.012745517,0.005147234,0.003397484,0.00609628,0.004066267,0.000880308,0.004071109,0.006183445,0.005821925
130910,375,1.254873416,0.092429803,,,,3.271884304,0.898324314,,,3.941547582,0.578725406,3.599122773,0.953349772,,1.112338578,0.866384486,0.067855589,0.014383583,0.015961343,0.03611915,0.067188318,0.049014246,1,0.855031267,0.483492841,0.235759602,0.319410361,,1.212938629,0.961064645,0.073816268,0.016139824,0.017419527,0.04333899,0.072506411,0.051496545,0.924926355,0.761250486,0.472841134,0.187040747,0.196926815,,0.01782706,0.030548615,0.015060059,0.016278112,0.013757732,0.030145843,0.038436924,0.011713731,0.014724157,0.022160904,0.0140312,0.017306044,0.013670722,,0.01410894,0.02390947,0.011863918,0.012766502,0.010826024,0.0237676,0.030684555,0.009411656,0,0,0.002955652,0.001196458,0.003302818
